Label,inflation,inflation.expectations
10/1/1982,0.740427171,0.483368296
11/1/1982,-1.616016212,0.247328821
12/1/1982,1.147425151,0.698790107
1/1/1983,0,0
2/1/1983,0.134290394,-0.425425523
3/1/1983,0.265220062,0.699929514
4/1/1983,0,0
5/1/1983,0.804355273,0.483368296
6/1/1983,0,0
7/1/1983,1.484267934,0.483368296
8/1/1983,1.273955499,0.483368296
9/1/1983,0,0
10/1/1983,0.911589867,0.483368296
11/1/1983,0.744644272,-0.226151444
12/1/1983,1.415971097,0.483368296
1/1/1984,0.334619016,0.483368296
2/1/1984,0,0
3/1/1984,0.33402933,0.483368296
4/1/1984,0,0
5/1/1984,1.064939781,0.483368296
6/1/1984,0,0
7/1/1984,0.48392479,0.483368296
8/1/1984,0.936687861,0.483368296
9/1/1984,0,0
10/1/1984,0.285080822,0.483368296
11/1/1984,0.570121934,0.483368296
12/1/1984,1.623874654,0.483368296
1/1/1985,0,0
2/1/1985,0.5718309,0.483368296
3/1/1985,0.331360229,0.483368296
4/1/1985,0,0
5/1/1985,0.268208336,0.483368296
6/1/1985,0,0
7/1/1985,1.028325184,-0.002615167
8/1/1985,1.171187934,0.483368296
9/1/1985,0,0
10/1/1985,1.0430424,0.483368296
11/1/1985,0.427486217,0.483368296
12/1/1985,0.25688735,0.483368296
1/1/1986,0,0
2/1/1986,-0.024553294,0.483368296
3/1/1986,0,0
4/1/1986,0.349462123,-0.242376579
5/1/1986,-0.067613731,0.483368296
6/1/1986,0,0
7/1/1986,0.747128082,0.483368296
8/1/1986,0.208484348,0.483368296
9/1/1986,0.348134929,0.483368296
10/1/1986,0,0
11/1/1986,0.490823709,0.483368296
12/1/1986,1.018627541,0.235208269
1/1/1987,0,0
2/1/1987,1.069695826,0.26242478
3/1/1987,1.018051933,0.483368296
4/1/1987,0,0
5/1/1987,1.181487407,0.483368296
6/1/1987,0,0
7/1/1987,0.82041743,0.483368296
8/1/1987,0.981143166,0.483368296
9/1/1987,0.656830054,0.483368296
10/1/1987,0,0
11/1/1987,0.938082059,0.483368296
12/1/1987,0.807880376,0.483368296
1/1/1988,0,0
2/1/1988,1.013238761,0.483368296
3/1/1988,1.065870164,0.483368296
4/1/1988,0,0
5/1/1988,0.140149002,0.483368296
6/1/1988,0.335641563,0.024253566
7/1/1988,0,0
8/1/1988,0.292990666,0.483368296
9/1/1988,1.209069056,0.483368296
10/1/1988,0,0
11/1/1988,0.717476021,0.2604646
12/1/1988,0.575933456,-0.346501935
1/1/1989,0,0
2/1/1989,0.807293391,0.483368296
3/1/1989,0.872557069,0.483368296
4/1/1989,0,0
5/1/1989,0.983044896,0.483368296
6/1/1989,0,0
7/1/1989,-0.75743475,0.688174165
8/1/1989,0.427125565,0.483368296
9/1/1989,0,0
10/1/1989,0.067388465,0.483368296
11/1/1989,0.268393874,0.677765954
12/1/1989,0.759744168,0.097238054
1/1/1990,0,0
2/1/1990,-0.903314293,0.483368296
3/1/1990,-0.334881191,0.483368296
4/1/1990,0,0
5/1/1990,-0.275114205,0.483368296
6/1/1990,0,0
7/1/1990,-0.034639805,0.289090209
8/1/1990,0.000379222,0.483368296
9/1/1990,0,0
10/1/1990,-0.615503335,0.483368296
11/1/1990,-0.951566801,0.483368296
12/1/1990,0.81623958,0.127346918
1/1/1991,0,0
2/1/1991,0.83670326,0.310810599
3/1/1991,0.081018389,0.662852954
4/1/1991,0,0
